connectivity	normalization	runs	mean_accuracy_pct	min_accuracy_pct	max_accuracy_pct	mean_zero_classes	mean_avg_firing
sparse l1	5	33.74	29.20	35.30	0.00	0.20
sparse l2	5	36.26	34.40	38.00	0.00	0.32
dense l1	5	34.10	27.10	37.40	0.00	0.33
dense l2	5	15.72	11.00	20.70	0.00	0.47
